Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_pvalue	deseq2_padj	bayseq_library_522	bayseq_library_523	bayseq_library_524	bayseq_library_525	bayseq_likelihood	bayseq_FDR	

OPA1	15.2973	23.6904	0.631027	1.86669	0.0088	0.422084	-0.633525802655428	6.32049914871305	0.0415676558907426	0.859494944984337	-0.584107434349558	2421.76268293807	0.172443209651262	0.000705982602268167	0.0990184358933311	2551	3079	1954	2055	0.168700196909414	0.493214906421753	
LOC101750146	14.8466	125.801	3.08294	6.62399	5e-05	0.0105395	-2.55008991944339	7.14017366432961	6.32440822242019e-15	5.09278420817661e-12	-2.19879761111475	4279.87046487226	0.220272908168523	1.82466057706056e-23	4.42375923618498e-20	7422	6448	1554	1092	0.894782761961535	0.0229667489478943	
C5H14ORF105	0.639481	8.70954	3.76762	4.63577	5e-05	0.0105395	-3.70594596312965	2.11267603163981	4.4775773750709e-21	7.34253803705858e-18	-2.16890936226887	130.489760155784	0.311348748480432	3.25677756195244e-12	3.07059844466083e-09	309	145	24	15	0.776507737221026	0.0509809950685383	
NAALAD2	4.97454	9.3838	0.91561	2.28459	0.00145	0.128337	-0.718737844941915	4.38530508885116	0.0226749292517426	0.609563861019734	-0.611158768765419	632.485797520268	0.229500056179659	0.00774472946277284	0.462802125749007	834	656	564	448	0.0322765140452829	0.842665291745967	
ECEL1	0.605999	1.54355	1.34887	2.08757	0.0094	0.441607	-1.33871049805839	1.43734031317677	0.000193432595349315	0.0220513158698219	-0.968685835877943	80.4341616716011	0.285486135145573	0.000691039036824514	0.0977301957829069	93	128	40	56	0.119187989658195	0.586666915980844	
VIPAR	14.8682	9.70493	-0.615438	-1.63852	0.0198	0.69867	0.624015706904806	4.69109447334671	0.0469539628087462	0.926819054774862	0.562961123148471	781.074530215425	0.189052114500409	0.00290316663564635	0.255283113852613	534	641	953	1047	0.101820741219743	0.631662843734641	
TMEM141	39.5491	65.9013	0.736663	2.01891	0.0372	0.970317	-0.704703411817878	4.61926257458246	0.0250747578489513	0.65427623968659	-0.646875010157905	743.599556871167	0.176638695804683	0.000250120545777876	0.0451574019403865	819	941	602	593	0.358517957168958	0.3033458237487	
MYO1G	1.72227	0.752285	-1.19496	-1.96094	0.01215	0.514929	1.23363660277069	1.76341541534691	0.000437329095194896	0.0408902704007228	0.880697945132182	100.506966343737	0.288714063626691	0.00228524737287787	0.220357574801763	46	69	187	113	0.0547551860572249	0.759601716026671	
LGALS2	1029.72	1540.2	0.580864	1.54975	0.02855	0.842002	-0.625700231757736	8.53372091525133	0.0433121471495239	0.877439820813643	-0.530763435188972	11241.9109932914	0.230873135561325	0.0215083591813631	0.800319527518161	13842	12047	7740	10861	0.00146692945857002	0.986557826615824	
