Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_stat	deseq2_pvalue	deseq2_padj	bayseq_library_922	bayseq_library_924	bayseq_library_926	bayseq_library_928	bayseq_library_931	bayseq_library_933	bayseq_library_921	bayseq_library_923	bayseq_library_925	bayseq_library_927	bayseq_library_930	bayseq_library_932	bayseq_likelihood	bayseq_FDR	bayseq_NA	bayseq_NA	

OC3	68.3144	70.4966	0.0453623	0.0760295	0.8512	0.999753	-5.51939021425878	-3.80623993033751	9.88570353169205e-07	0.00191584934444192	2.86571218038899	-1.76705395615946	0.546526651199646	-3.23324389081614	0.00122393023639129	NA	12	14	2	5	0	0	0	0	0	0	0	0	0.890525086940581	1>2	0.0405931645037352	0.371330907198658	
MAML1	6.96418	7.45088	0.0974586	0.185406	0.6512	0.999753	-4.77388298910298	-4.20287959937036	0.000109682940763807	0.0465862222845864	1.57178748639842	-1.77580507661378	0.55066971147494	-3.22480978998713	0.00126056390804808	NA	8	2	2	6	0	3	0	0	0	0	0	0	0.920057507262962	1>2	0.0278594537991935	0.227356123728536	
CSTF1	18.9064	19.4801	0.0431238	0.0801403	0.8422	0.999753	-4.75523458030355	-3.47276181165411	2.72645199703798e-07	0.000581225036728557	3.99455384956775	-2.60611101758418	0.542503411907698	-4.80386106406201	1.55634843745594e-06	0.0118453679574771	15	8	10	4	6	4	1	0	0	0	0	0	0.987132814107554	1>2	0.00530411910892528	0.0211071964359721	
CLASP1	6.17871	6.36151	0.0420621	0.0801629	0.8474	0.999753	3.29025612388742	0.635912844144059	5.07437727639723e-09	1.80292624630393e-05	96.5880284090703	1.58302810622746	0.554345725630233	2.85566936486743	NA	NA	24	18	32	20	8	14	1006	4	5	147	17	25	0.984897099295929	2>1	0.00726387542795446	0.0358913172481296	
LOC101749207	0.184052	0	-inf	0	1	1	8.25180815291326	-0.61078009529865	9.99648005824601e-23	1.06552480940844e-18	39.4814533726489	0.423800870870147	0.371094576616903	1.14202927656271	NA	NA	0	0	0	1	0	0	0	0	602	1	0	0	0.99976939412329	2>1	0.000115302938355155	0.00023060587671031	
LOC430910	6.69706	0.618884	-3.43579	-2.11375	5e-05	0.0185047	3.92791588683908	-4.0316262358179	0.000100853284594997	0.0457444749148117	2.0105618222537	1.12423716104205	0.520961440132055	2.15800455549469	0.0309274776161376	NA	0	0	0	0	1	0	0	2	23	0	1	0	0.167222400473015	2>1	0.662028149747604	1	
LOC101748795	0	0	0	0	1	1	10.1611125505314	6.69190692067257	5.37340026469905e-42	1.14550146842854e-37	6552.91971608388	1.27810542470542	0.511982807821931	2.49638348237261	NA	NA	11	10	12	2	3	35	80970	4	5	9978	50	12	1	2>1	0	0	
LOC427010	0.424945	0.00272202	-7.28645	0	1	1	6.93718393026741	-1.19169382245342	1.28828140115985e-17	9.15452763664188e-14	25.6365402592466	0.518117615280631	0.401133533341986	1.29163376336057	NA	NA	1	0	0	0	1	0	0	0	387	1	1	0	0.991881315333455	2>1	0.00278309684775187	0.00834741832686037	
CZH9ORF41	NULL	NULL	NULL	NULL	NULL	NULL	-2.99186525703747	-3.24972383674014	4.4344783185055e-05	0.0278041790570295	4.80141060611219	-2.16353629863252	0.498280652111299	-4.34200342611188	1.41189330996968e-05	0.0358197332739307	8	7	12	16	6	9	1	1	4	0	0	0	0.949828124611187	1>2	0.0154337923976381	0.103992292744344	
