Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_pvalue	deseq2_padj	bayseq_library_807	bayseq_library_808	bayseq_library_810	bayseq_library_811	bayseq_library_712	bayseq_library_713	bayseq_library_718	bayseq_library_720	bayseq_likelihood	bayseq_FDR	

ATRX	27.2333	23.1316	-0.235506	-0.30931	0.5225	0.999226	0.450207151520008	6.71378115062889	0.245513196996906	1	0.455644880851308	3323.31307698996	0.147892299682373	0.00206359569823959	0.153924270344597	3754	3955	2447	3976	499	5286	6892	5252	0.0180436346366213	0.887396955487182	
ITGA8	2.65099	1.27359	-1.05763	-1.37836	0.0059	0.190208	1.55329162404092	1.68030103552775	0.000142871362213045	0.00860376186343981	1.15588722389745	113.861232909257	0.357556834199675	0.00122610365283313	0.12029869601957	115	64	23	88	34	121	316	179	0.102656443957173	0.663735671117772	
ITGA9	3.53344	3.15531	-0.163292	-0.249553	0.61765	0.999226	1.09386534283741	3.17563396655541	0.00539880682264018	0.143685098433263	0.803616902548663	318.723942066841	0.370610455270647	NA	NA	330	395	110	190	115	334	512	334	0.0306468380743507	0.836946383133987	
ITGA1	2.23843	1.43526	-0.641175	-0.578493	0.26385	0.999226	0.684419902718079	2.80060788016852	0.0866444088964414	0.75653728065264	0.613528198689964	218.926288700713	0.26733229218695	0.0217329982201435	0.355199818955471	303	142	148	249	28	352	562	406	0.0566046917487157	0.764290618389375	
ITGA6	27.5819	24.0119	-0.199972	-0.187289	0.69985	0.999226	0.834222925771222	4.4213996514374	0.0332191689624646	0.448782414390067	0.770415461568624	681.006366693078	0.233895257636109	0.000988258715574713	0.103530807727896	717	657	304	850	108	1170	1849	1049	0.20986110866015	0.51351743981658	
ITGAV	25.458	16.4447	-0.630497	-0.748634	0.12165	0.842454	1.15061304032213	4.59533927342543	0.00343321235501462	0.102793849696912	1.00658235980572	783.501829760827	0.283594992237414	0.000386160274514278	0.0674727316014947	810	828	334	519	185	1101	2084	1131	0.462645991228875	0.291558782916345	
CKS1B	84.6093	32.0716	-1.39952	-2.87645	0.00495	0.168856	1.02098323193594	2.6827740092751	0.00898367568217569	0.200064035435511	0.583570507041528	256.235112937291	0.398131441908575	NA	NA	180	281	167	137	129	180	129	118	0.0539302077527863	0.770325667658214	
ART4	0.440051	1.28653	1.54774	0.986732	0.1714	0.928867	-0.937641873840939	-0.119094109323311	0.0123670191692692	0.248015159595937	-0.644651614849469	25.3192930200681	0.382688085499536	0.0920782502448372	0.581258010407452	18	39	49	63	0	48	23	25	0.00873937079516346	0.92952418933229	
CPEB4	NULL	NULL	NULL	NULL	NULL	NULL	0.888364436923967	3.77438052211375	0.0234909868183083	0.36633566714901	0.788677343803521	445.013356078751	0.271246926144459	0.00364214814002669	0.190224507828194	548	418	191	442	96	678	1079	603	0.181032598101756	0.542242935860575	
CPEB3	12.1242	9.51272	-0.349962	-0.535695	0.2872	0.999226	0.636845386515604	5.05760706413903	0.10240813169475	0.809168477193727	0.609849002988136	1056.18438167198	0.215796085921737	0.0047126947511608	0.209563480219999	1345	1071	834	843	159	1587	2252	2065	0.070999893725279	0.729719018540354	
CFI	12.3061	17.2716	0.48903	0.66268	0.23585	0.995941	-0.539682421135301	4.33255335062456	0.164129588100763	0.977168118112078	-0.47246220094941	625.328826916957	0.205725961451097	0.0216438308151417	0.355199818955471	1020	1196	777	717	45	885	1039	701	0.0281932159745157	0.8448708270773	
SIDT2	35.5658	14.794	-1.26547	-1.28463	0.0142	0.323145	1.00537456930846	5.59834761604872	0.0100024460679285	0.214519260841146	0.635996357942123	1621.19578271564	0.392707825006135	NA	NA	1509	1617	1036	1036	707	1504	1298	1070	0.217308693189294	0.504204458719233	
TRNAA-AGC	0	0	0	0	1	1	-2.89107905292634	-3.47339366057799	0.0332829063303639	0.448782414390067	-0.656629165322129	1.15306598887513	0.34626717532686	0.0579193478918092	0.497993981078445	2	4	2	3	0	0	1	0	0.306756251576314	0.411394209874319	
LOC421415	1.31525	1.0369	-0.343058	-0.376596	0.4496	0.999226	0.525348285563911	2.50705893692214	0.185154898955537	1	0.48671372778088	180.562261098689	0.209029819056981	0.0198886665071305	0.349293751001916	192	225	97	248	27	341	392	254	0.0396958382405755	0.809078427971631	
