Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_stat	deseq2_pvalue	deseq2_padj	bayseq_library_668	bayseq_library_669	bayseq_library_670	bayseq_library_671	bayseq_likelihood	bayseq_FDR	bayseq_NA	bayseq_NA	

NPY	128.608	497.22	1.95091	6.15415	5e-05	0.0471679	-1.94684824167364	6.48050259441653	5.99440115061217e-06	0.00555602798820653	630.860913758873	-0.675607955614413	0.179225017311567	-3.76960742282942	0.000163504524545166	0.23484699875504	447	1779	148	373	0.0481903132443073	1>2	0.853032628513159	1	
HPGDS	195.226	43.4139	-2.16892	-5.07527	5e-05	0.0471679	2.16286178447488	6.26029443057681	6.32484433954514e-07	0.000748559639832776	547.590936545398	0.1842112344312	0.11000044798409	1.67464076562528	0.0940047358436571	0.999980257239735	193	237	1138	288	0.20552603254919	2>1	0.576729494549472	0.999998377526607	
CCK	16.5698	72.9836	2.13902	4.80341	5e-05	0.0471679	-2.17195156143498	4.29562290865585	1.79041661586927e-06	0.00181752863890958	136.58436709286	-0.79545178248268	0.181581657545833	-4.38068356261095	1.1830757787759e-05	0.0339858235383023	151	341	34	62	0.419143697337235	1>2	0.373615060094967	0.926722904076617	
CGA	9.12774	247.765	4.76257	5.84358	5e-05	0.0471679	-4.85745625783047	5.66377159301696	4.46264165676345e-21	9.51345948388833e-17	355.870967341785	-0.0786689501255408	0.0621687342932811	-1.26541019404416	0.205724322809053	0.999980257239735	1405	18	30	11	0.402327653112719	1>2	0.410957941227019	0.97051859797023	
GHRH	2.15922	22.8071	3.4009	4.07816	5e-05	0.0471679	-4.04847864998378	2.74263731449638	3.40146284914737e-12	1.20853975030206e-08	44.9242815059046	-0.442056166533738	0.134064348743444	-3.29734318390411	0.000976041614078637	NA	162	16	1	9	0.0164390107430946	1>2	0.94734816708922	1	
LOC101752216	0	4.66057	inf	-nan	5e-05	0.0471679	-7.13603088876744	0.60819111931107	8.24560031888212e-08	0.000175779707597929	8.69484875049232	-0.0190293942788578	0.0301005871774429	-0.632193457445848	0.527260471965739	NA	36	0	0	0	0.0659454618747125	1>2	0.82430600237927	1	
TRH	16.9956	2.52242	-2.75228	-4.44614	5e-05	0.0471679	2.76977348996932	4.26881293644733	3.33186582964705e-09	8.87858946955197e-06	135.650694226571	1.06827659503294	0.183634632831672	5.81740262476615	5.9769058278358e-09	2.57544872121445e-05	45	29	150	315	0.838832939860963	2>1	0.119797393588292	0.226954820976556	
LOC420209	25.011	1.6258	-3.94334	-5.06076	5e-05	0.0471679	3.73524790648275	4.43467915717452	3.48973893769758e-14	1.85985636684592e-10	154.251022982162	1.20115171073752	0.180468004726452	6.65575990912183	2.81840014248202e-11	2.428897242791e-07	21	25	296	201	0.921572272962453	2>1	0.0784277270375472	0.0784277270375472	
CRHBP	18.4668	70.4933	1.93256	3.59787	5e-05	0.0471679	-1.95527998035303	5.82852391707203	6.30975048972312e-06	0.00560463587249656	400.392849228696	-0.693920372988132	0.180046412653409	-3.85411940599969	0.000116146904300797	0.200190804252853	315	1097	93	236	0.0482931230092176	1>2	0.851782286003759	1	
CHGA	82.7954	539.795	2.70479	4.52472	5e-05	0.0471679	-2.7144840119096	8.8572582662315	5.7478731374829e-10	1.75047370778372e-06	3279.27076665881	-0.276069281243163	0.122155852387844	-2.2599758901984	0.0238227472253191	0.999980257239735	9610	2366	459	1308	0.00871550666332406	1>2	0.970724554210201	1	
