Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_stat	deseq2_pvalue	deseq2_padj	bayseq_library_932	bayseq_library_933	bayseq_library_919	bayseq_library_921	bayseq_likelihood	bayseq_FDR	bayseq_NA	bayseq_NA	

NDP	1.89922	38.1474	4.32811	3.27992	0.00015	0.0207236	0	-4.86885619464601	1	1	0	NA	NA	NA	NA	NA	0	0	0	0	0.0684562146450628	1=2	0.767156308441686	1	
SPPL2A	41.7429	67.5077	0.693521	0.709163	0.3353	0.999942	-6.09116119758124	-3.24664367663404	0.0112517582730702	0.729072896247143	4.26853448617242	-3.82879586283213	1.61365861298879	-2.37274218475524	0.0176565835441891	NA	7	9	0	0	0.927232772578245	1>2	0.0430920858060804	0.746708332264002	
LOC771752	0.808795	0.935658	0.210207	0.0461552	0.86565	0.999942	-6.36089176376878	3.50639218020047	2.09750376423175e-05	0.0149048617486308	724.07175316817	-5.33003828918021	1.27708737629888	-4.17358936287286	2.99837975339913e-05	0.00365812694596149	2402	9	16	17	0.834584311039341	1>2	0.0999460127027989	0.999995161205019	
LOC101752257	0.00320097	5.13097	10.6465	1.27565	0.43535	0.999942	-10.867405161458	1.02107837675176	5.74999998224314e-07	0.00133144724237645	127.839764862793	-1.56652414273465	1.60721174922131	-0.974684352260136	0.329716857153425	0.927967192041103	430	0	0	0	0.829042949791479	1>2	0.102805358835619	0.999998077527442	
ATP1A2	6.47226	140.826	4.4435	6.38563	0.0002	0.0238721	-2.20261498561792	-4.03046166037652	0.385942231842026	1	1.73753162387379	-1.21532885866301	1.68252059587447	-0.722326289284651	0.470093893504032	NA	5	0	0	1	0.104747757222328	1>2	0.710741827725658	1	
LOC419144	6.99143	9.7427	0.478734	0.390103	0.5612	0.999942	-9.55353725328965	-0.259784375499133	1.0153049239427e-05	0.00908270834062621	51.3246979519036	-6.48184329650733	1.45784718460973	-4.44617471908932	8.74128623956556e-06	0.00193870578887391	171	2	0	0	0.774300262816147	1>2	0.136822756618425	0.99999999999886	
SEZ6L	0.277762	13.1299	5.56286	4.00209	0.0001	0.0158072	-3.25231317652939	-4.53198072071386	0.567719790194979	1	0.594603557501361	-1.17271869427362	1.54547192841158	-0.758809443714012	0.447966555604945	NA	2	0	0	0	0.235919762540653	1>2	0.586696807131008	1	
B3GAT2	0.92177	14.1316	3.93837	2.90413	0.00065	0.0473232	0.721135920304746	-0.0760618883224781	0.552939788226111	1	53.0859327359793	0.625885761665009	0.9066916893239	0.690296127156209	0.490007982870523	0.961004269025038	31	46	68	71	0.073904866580722	2>1	0.747931745486643	1	
LOC101750257,LOC101750332	0	0.526673	inf	-nan	0.0001	0.0158072	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
LIMS2	118.149	138.7	0.231358	0.157099	0.8343	0.999942	-6.05173458842227	6.27078379978463	3.6898031150932e-05	0.0206997954756729	4925.73571452588	-5.21214466934269	1.22108691372898	-4.26844691458182	1.96838657507189e-05	0.00294585439985611	16205	175	212	76	0.370694899007688	1>2	0.426946860889899	1	
PDE8B	0.193983	14.5515	6.22909	4.27557	5e-05	0.00964066	-1.04763617330364	1.29681010576299	0.386889072479213	1	146.699942841679	-1.06316930659088	0.930405388156527	-1.14269470074481	0.253165370776712	0.903489027071277	269	88	96	97	0.0190160959720622	1>2	0.861525374680533	1	
RASSF9	1.366	15.4361	3.49827	2.68776	0.0005	0.0396968	-4.18140004018805	-4.25726897815514	0.231992438281397	1	1.18920711500272	-1.65565574002342	1.63627880466287	-1.01184207441014	0.311613569120385	NA	4	0	0	0	0.312656398037512	1>2	0.502279608205434	1	
LOC100859495	1.17873	53.2621	5.49781	3.09594	0.00055	0.0427004	-0.368723635093346	-0.96355859468235	0.783158812895231	1	28.7735652789082	-0.428464173169845	1.04936041485854	-0.408309830543402	0.683046222967294	0.975417386632062	45	14	25	26	0.0422643520582749	1>2	0.848495000903953	1	
BTG1	220.078	248.41	0.174707	0.167615	0.81115	0.999942	-7.55460224080259	-2.09961964630171	0.000678248519921783	0.158020880394417	11.5881688063729	-5.22573247935611	1.49545234367089	-3.49441592135828	0.000475100229559875	NA	12	33	0	0	0.951847412800066	1>2	0.0271273861379539	0.374734586659226	
TMEM132B	1.12408	19.7283	4.13345	3.21076	0.0001	0.0158072	-4.4546581660646	-2.76108574335617	0.0129902326402368	0.758737287277283	7.19110754219964	-3.43307607146841	1.49041827023112	-2.30343128505534	0.0212545892094956	NA	21	3	1	0	0.403867049304844	1>2	0.40293058623408	1	
DNAJC6	0.933824	19.1042	4.3546	3.32115	5e-05	0.00964066	-0.586144612403504	-2.9210646785761	0.707138723115024	1	5.83419868112533	-0.529848986178322	1.48868657465081	-0.355917085033567	0.72190266052344	NA	9	4	10	0	0.0529037884522269	1>2	0.842886479159265	1	
SMPD3	1.79665	28.1214	3.96828	3.09857	0.0003	0.0302517	-4.35151933674044	-1.64919845600009	0.00494410499368797	0.483479037868991	18.2072250306783	-3.56313343279509	1.37509912564075	-2.59118296736229	0.00956466240257343	NA	58	1	1	2	0.416347291375971	1>2	0.395383268454433	1	
TTC25	0.185245	1.34609	2.86127	0.229752	0.4468	0.999942	-4.84458167128009	4.73035358724139	0.000490378512828894	0.12748645288398	1689.14204787356	-4.20558219282723	1.22139726954748	-3.44325494880577	0.000574757206908713	0.0304621319661618	5469	50	129	91	0.372938286783075	1>2	0.423443336540719	1	
GAL3ST1	0.389752	39.9831	6.68069	4.71398	5e-05	0.00964066	-3.47401512765225	-3.42843753759663	0.0687609960099417	1	3.78625085513763	-2.28838258139664	1.63985567039297	-1.39547804280133	0.162871731570758	NA	12	0	1	0	0.175370834230892	1>2	0.664481618102662	1	
PLA2G5	1.20603	0	-inf	-nan	0.0006	0.0442336	-0.0694427670479043	-4.05373250469211	1	1	1.48220886866704	0.0090134313789152	1.67976871796724	0.00536587643435981	0.99571867058298	NA	0	3	0	3	0.049880350386448	2>1	0.844562092695487	1	
NKAIN2	0.149942	46.1885	8.26699	1.87137	5e-05	0.00964066	-7.16938778546296	-2.42722137351352	0.00146599959598754	0.236758934751988	9.81095869877245	-4.39563090346162	1.59551258758052	-2.75499606689238	0.00586928410151718	NA	33	0	0	0	0.499846634419231	1>2	0.323214415675533	1	
GLDC	3.269	37.797	3.53135	2.76903	0.00025	0.0272453	-3.5879398222333	-3.35874657494568	0.0583818468369327	1	4.08355263388831	-2.38832094235254	1.63251332375649	-1.46297179177497	0.143475097744676	NA	13	0	1	0	0.183234029655768	1>2	0.650711581125869	1	
FRMD5	0.182329	6.90835	5.24373	3.62067	0.0002	0.0238721	-1.16700109736397	-2.64235689884574	0.436614076738277	1	7.85368348136434	-0.949642539379928	1.50000139778513	-0.633094436299957	0.526671975316303	NA	18	1	0	9	0.0255925380308945	1>2	0.858165132415829	1	
CLEC18A	0	9.89968	inf	-nan	5e-05	0.00964066	-4.47898097199106	-4.14153355272884	0.160681620216045	1	1.43225400777135	-2.18038940873466	1.67870392246834	-1.29885287068886	0.193994426256937	NA	4	1	0	0	0.449982873494687	1>2	0.356099319027366	1	
SIX3	0	8.94059	inf	-nan	5e-05	0.00964066	-4.32858964611744	-1.6939157232312	0.00565198572098348	0.520773617339794	17.580228253186	-3.55894802167426	1.37636798792726	-2.58575326721588	0.00971664579310641	NA	56	1	2	1	0.432830742104076	1>2	0.372835465276709	1	
LOC428824	0.173332	7.20791	5.37797	2.73644	0.00065	0.0473232	-4.15735522405037	-4.26711166832168	0.231992438281397	1	1.08069734303862	-1.85559549408511	1.66099997085903	-1.11715564517767	0.2639277816707	NA	2	2	0	0	0.420306050550637	1>2	0.381522723088684	1	
MSI2	9.09578	15.6896	0.786539	0.841007	0.22465	0.999942	-4.47766195474326	1.76239398353925	0.00115110583721676	0.219100662837384	213.260428003771	-4.0002198052825	1.14984838350278	-3.47891066567979	0.000503456388805294	0.0280399609087152	670	24	17	18	0.563300823549531	1>2	0.279251549574587	1	
CHFR	4.56905	6.26948	0.456453	0.127746	0.6938	0.999942	-9.19452117297281	-0.603378527148165	2.19269414910045e-05	0.0150786625388785	39.9187205874136	-6.35447856753169	1.45141530227938	-4.37812565263179	1.19704333489771e-05	0.00218526911026326	131	4	0	0	0.782401942026024	1>2	0.133440277348603	0.999999999993372	
PTEN	69.2233	66.2709	-0.0628828	-0.062822	0.933	0.999942	-7.48490720886762	-2.16060835622079	0.000822172118502422	0.177041062850855	11.6185965318158	-5.234695830909	1.49375554646159	-3.50438587043841	0.000457661690184959	NA	26	16	0	0	0.949376479471645	1>2	0.0295894851256915	0.436312390297856	
TMEM125	1.09017	65.6073	5.91123	4.12899	5e-05	0.00964066	-4.05238017970162	-3.05277438751579	0.0286177100320572	1	5.57006152764171	-2.79860906122614	1.60051419252552	-1.74856872516081	0.0803655963134106	NA	18	0	1	0	0.217471653494217	1>2	0.612858331690962	1	
TCFL5	0.501978	1.45725	1.53755	0.115438	0.4623	0.999942	-5.8632673612188	4.00377699276316	5.99036683627079e-05	0.0277614435251349	1022.73684582822	-4.84868966787793	1.30993664886534	-3.70146882452511	0.000214354996738019	0.015312402593068	3383	6	25	40	0.541339634581959	1>2	0.292930513530183	1	
MIR181A-1,MIR181B-1	2.28623	31.8799	3.80161	2.62713	0.0005	0.0396968	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	
GRID2IP	0.0214646	2.07063	6.59197	3.73586	0.0045	0.154515	-7.17558725081511	-0.3771424461794	5.47015961597624e-05	0.0259139694874181	47.1923105527369	-1.52001664075423	1.60662985191621	-0.946090127070227	0.344102619004901	0.929560699080556	158	0	1	0	0.456949953839701	1>2	0.35226982725565	1	
ACBD7	5.24585	411.536	6.2937	3.14108	5e-05	0.00964066	-5.59241391233782	-3.57166759294619	0.0264941369039545	0.98811305210712	3.21606468027543	-3.25057567064817	1.6577397650427	-1.96084798060234	0.0498967590537982	NA	10	1	0	0	0.513687576368298	1>2	0.318178840265756	1	
ABLIM2	2.05013	26.9691	3.71752	2.93073	0.0002	0.0238721	-2.55761390242395	-3.36922051243118	0.136225465634497	1	3.85264726132073	-1.86968747772062	1.55564322809288	-1.20187421123077	0.229412267418634	NA	8	4	0	2	0.262226994978538	1>2	0.538009121056518	1	
