Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_pvalue	deseq2_padj	bayseq_library_522	bayseq_library_523	bayseq_library_524	bayseq_library_525	bayseq_likelihood	bayseq_FDR	

LOC101751818	NULL	NULL	NULL	NULL	NULL	NULL	2.59250840508136	-2.84554780333513	0.0488720054081774	0.939453030921123	0.215799104211117	2.18926446977292	0.188801003337778	0.25303956438825	0.999162683775631	1	0	2	6	0.0663062002619527	0.727226612234688	
LOC101751816	NULL	NULL	NULL	NULL	NULL	NULL	-1.41368875489259	4.95633570952445	8.65327319144495e-06	0.00153686848743886	-1.26859157570709	940.235332429856	0.194463006993213	6.86567938054869e-11	4.85489353197049e-08	1276	1329	612	475	0.962884457851854	0.0121671118126416	
OPA1	NULL	NULL	NULL	NULL	NULL	NULL	-0.633525802655428	6.32049914871305	0.0415676558907426	0.859494944984337	-0.584107434349558	2421.76268293807	0.172443209651262	0.000705982602268167	0.0990184358933311	2551	3079	1954	2055	0.105195196665174	0.61884155500518	
RIT2	NULL	NULL	NULL	NULL	NULL	NULL	-4.71728933268683	-3.11772969979865	0.0366789140339941	0.798127796939342	-0.242645225962562	1.57651054871437	0.17170417488338	0.157609105574569	0.999162683775631	3	3	0	0	0.130204807741962	0.553184180983647	
LOC101749084	NULL	NULL	NULL	NULL	NULL	NULL	3.15988484295462	-2.54718493044546	0.0100530068997014	0.382014262188654	0.339001731039747	3.06777896550268	0.216928399577569	0.11811479901014	0.999162683775631	0	1	8	4	0.244363742258607	0.395060859004171	
FAM169B	NULL	NULL	NULL	NULL	NULL	NULL	0.414349382638211	5.14123742992971	0.184720189374978	1	0.372655932491691	1068.35391988408	0.189821094536111	0.0496234535510556	0.999162683775631	915	825	1319	1261	0.0470303420885726	0.79420663159846	
LOC101750146	NULL	NULL	NULL	NULL	NULL	NULL	-2.55008991944339	7.14017366432961	6.32440822242019e-15	5.09278420817661e-12	-2.19879761111475	4279.87046487226	0.220272908168523	1.82466057706056e-23	4.42375923618498e-20	7422	6448	1554	1092	0.820324942421816	0.0394565220735595	
HLCS	NULL	NULL	NULL	NULL	NULL	NULL	0.440811249819035	3.61814484375087	0.165996940945896	1	0.394084605076497	370.19880962767	0.195620695171213	0.0439534648528115	0.999162683775631	276	324	452	449	0.0244304296296359	0.873902576110863	
LOC771752	NULL	NULL	NULL	NULL	NULL	NULL	0.991106034070729	2.1437555802889	0.00347862615156143	0.194638719944847	0.699445916821963	131.662293815445	0.290938343740364	0.016212178498518	0.707292753980333	82	86	249	124	0.0366614579934633	0.826067363391451	
LOC100857214	NULL	NULL	NULL	NULL	NULL	NULL	-1.24132646694625	0.920639704501899	0.000955915220170332	0.0760380621775789	-0.632507173732402	56.063583571435	0.319629251241839	0.0478297859489216	0.999162683775631	110	37	37	33	0.0176721885200635	0.910575032914971	
LOC100857218	NULL	NULL	NULL	NULL	NULL	NULL	-4.72451498900678	-3.11399613445719	0.0366789140339941	0.798127796939342	-0.145579936927978	1.65050369644469	0.13669780365144	0.286886602591146	0.999162683775631	6	0	0	0	0.0331340952258435	0.84053024781094	
ATP1A1	NULL	NULL	NULL	NULL	NULL	NULL	-0.425823310656629	10.2273046839463	0.167880333555013	1	-0.390394295528794	36356.2618239054	0.178908290829003	0.0291027660455676	0.944365282140207	38910	40512	30407	35038	3.80117442486632e-05	0.989737138705119	
CRTAP	NULL	NULL	NULL	NULL	NULL	NULL	-0.557573086578107	3.59151266042761	0.0804854206930392	1	-0.465825907432039	363.538901581158	0.237144844755312	0.0494941930659436	0.999162683775631	327	505	291	330	0.0151832887383509	0.921224030628066	
LOC770405	NULL	NULL	NULL	NULL	NULL	NULL	-1.51062884854491	-1.24166103534094	0.00800469051410754	0.332497529915454	-0.454427586743001	11.0875357281599	0.294169145943271	0.122398685813234	0.999162683775631	21	10	9	3	0.0131089830372796	0.928911157640768	
C5H14ORF105	NULL	NULL	NULL	NULL	NULL	NULL	-3.70594596312965	2.11267603163981	4.4775773750709e-21	7.34253803705858e-18	-2.16890936226887	130.489760155784	0.311348748480432	3.25677756195244e-12	3.07059844466083e-09	309	145	24	15	0.979042351473683	0.00588098073432559	
LOC101748904	0.0147547	0.16686	3.49939	0	1	1	-3.58684255039956	0.245781844125525	3.77250967399808e-13	2.3653635655968e-10	-1.87519208337056	34.469237353396	0.316657798201731	3.18388229437647e-09	1.80112221392877e-06	54	68	7	4	0.92108787975184	0.0208018521006739	
LOC101749503	NULL	NULL	NULL	NULL	NULL	NULL	1.86931021732383	-0.30270854250582	0.000118403982829957	0.0146752099184246	0.370575598481775	22.1994753378949	0.26253195281352	NA	NA	13	5	72	3	0.00387437066643781	0.970009097322422	
LOC101749506	NULL	NULL	NULL	NULL	NULL	NULL	-1.22305139428216	-1.06505748227849	0.0293678438857342	0.722103455543348	-0.431220794957221	12.6016694580468	0.305880046201758	0.158607335102904	0.999162683775631	14	20	12	4	0.0190192858400363	0.903176235275626	
SIDT1	NULL	NULL	NULL	NULL	NULL	NULL	0.842211657686003	1.84871354619169	0.0146133653929504	0.483738701004528	0.606140359797701	106.940055130417	0.286818259172946	0.0345729119965495	0.999162683775631	71	75	188	104	0.0185777287472483	0.906573199481536	
MR1	1.22936	2.33885	0.927896	0.89892	0.3396	0.999798	-0.875635980922135	1.1891478295389	0.0173134468321182	0.538814685499409	-0.297986434106801	67.534707681726	0.303854442999488	NA	NA	85	81	8	91	0.018507842765852	0.907227890996567	
NAALAD2	NULL	NULL	NULL	NULL	NULL	NULL	-0.718737844941915	4.38530508885116	0.0226749292517426	0.609563861019734	-0.611158768765419	632.485797520268	0.229500056179659	0.00774472946277284	0.462802125749007	834	656	564	448	0.0431003379667798	0.8029639471345	
LOC101751159	NULL	NULL	NULL	NULL	NULL	NULL	2.51702932030343	-2.35445539934422	0.0128258663298701	0.443866588344433	0.286503570365235	3.81911673664016	0.2168669263143	0.186466986916559	0.999162683775631	2	0	11	3	0.0640734404092419	0.73599809274449	
LOC100859302	NULL	NULL	NULL	NULL	NULL	NULL	0.7861258520102	2.13538257094425	0.020029545702425	0.583319474432098	0.547034959455581	130.969137883588	0.293652691864095	0.0624814358200973	0.999162683775631	93	90	238	115	0.0182547718354831	0.908009954091217	
LOC100859304	NULL	NULL	NULL	NULL	NULL	NULL	0.916607506205866	1.1578415972665	0.0120517203391376	0.428912477779192	0.432224729602811	65.5438172556284	0.319445637633584	0.176040847888419	0.999162683775631	64	21	126	56	0.00146286810496544	0.986415852815525	
